label,text
Greeting,hi all
Greeting,hi pals
Greeting,hi mate
Greeting,hi buddy
Greeting,hello mate
Greeting,hello buddy
Greeting,hey mate
Greeting,hey buddy
Greeting,hi dear
Greeting,hello dear
Greeting,hey dear
Greeting,hi lovely
Greeting,hello lovely
Greeting,hey lovely
Greeting,hi sweetie
Greeting,hello sweetie
Greeting,hey sweetie
Greeting,hi love
Greeting,hello love
Greeting,hey love
Greeting,hi honey
Greeting,hello honey
Greeting,hey honey
Greeting,hi darling
Greeting,hello darling
Greeting,hey darling
Greeting,hi cutie
Greeting,hello cutie
Greeting,hey cutie
Greeting,hi handsome
Greeting,hello handsome
Greeting,hey handsome
Greeting,hi beautiful
Greeting,hello beautiful
Greeting,hey beautiful
Greeting,hi princess
Greeting,hello princess
Greeting,hey princess
Greeting,hi queen
Greeting,hello queen
Greeting,hey queen
Greeting,hi king
Greeting,hello king
Greeting,hey king
Greeting,hi superstar
Greeting,hello superstar
Greeting,hey superstar
Greeting,hi champ
Greeting,hello champ
Greeting,hey champ
Greeting,hi legend
Greeting,hello legend
Greeting,hey legend
Greeting,how are you
Greeting,how's it going
Greeting,what's new with you
Greeting,how have you been
Greeting,how's everything going
Greeting,how's your day been
Greeting,how's life treating you
Greeting,how are things going
Greeting,what have you been up to
